sentence,target_word,acceptable_targets,variant_lexemes,structure_id,tags,cefr,difficulty,variant_group
Can he walk?,walk,,swim;run;jump;fly;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he write?,write,,swim;run;jump;fly;walk;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he read?,read,,swim;run;jump;fly;walk;write;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he sing?,sing,,swim;run;jump;fly;walk;write;read;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he dance?,dance,,swim;run;jump;fly;walk;write;read;sing;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he climb?,climb,,swim;run;jump;fly;walk;write;read;sing;dance;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he cook?,cook,,swim;run;jump;fly;walk;write;read;sing;dance;climb;drive;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he drive?,drive,,swim;run;jump;fly;walk;write;read;sing;dance;climb;cook;bake,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can he bake?,bake,,swim;run;jump;fly;walk;write;read;sing;dance;climb;cook;drive,abilities_modal,can_question|sports,a1,1,vg_6d4dff4a5dc42947
Can she swim?,swim,,run;jump;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she run?,run,,swim;jump;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she jump?,jump,,swim;run;fly;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she fly?,fly,,swim;run;jump;walk;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she walk?,walk,,swim;run;jump;fly;write;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she write?,write,,swim;run;jump;fly;walk;read;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she read?,read,,swim;run;jump;fly;walk;write;sing;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she sing?,sing,,swim;run;jump;fly;walk;write;read;dance;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she dance?,dance,,swim;run;jump;fly;walk;write;read;sing;climb;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she climb?,climb,,swim;run;jump;fly;walk;write;read;sing;dance;cook;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she cook?,cook,,swim;run;jump;fly;walk;write;read;sing;dance;climb;drive;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she drive?,drive,,swim;run;jump;fly;walk;write;read;sing;dance;climb;cook;bake,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she bake?,bake,,swim;run;jump;fly;walk;write;read;sing;dance;climb;cook;drive,abilities_modal,can_question|sports,a1,1,vg_48e860e71e46ad60
Can she draw a cat?,cat,,dog;bird;flower;house,abilities_modal,can_question|draw|animals,a1,2,vg_fd0a30f5632374cf
Can she draw a dog?,dog,,cat;bird;flower;house,abilities_modal,can_question|draw|animals,a1,2,vg_fd0a30f5632374cf
Can she draw a bird?,bird,,cat;dog;flower;house,abilities_modal,can_question|draw|animals,a1,2,vg_fd0a30f5632374cf
Can she draw a flower?,flower,,cat;dog;bird;house,abilities_modal,can_question|draw|animals,a1,2,vg_fd0a30f5632374cf
Can she draw a house?,house,,cat;dog;bird;flower,abilities_modal,can_question|draw|animals,a1,2,vg_fd0a30f5632374cf
Can she run fast?,run,,walk;swim;talk,abilities_modal,can_question|movement,a1,1,vg_235cc6230336bc4f
Can she walk fast?,walk,,run;swim;talk,abilities_modal,can_question|movement,a1,1,vg_235cc6230336bc4f
Can she swim fast?,swim,,run;walk;talk,abilities_modal,can_question|movement,a1,1,vg_235cc6230336bc4f
Can she talk fast?,talk,,run;walk;swim,abilities_modal,can_question|movement,a1,1,vg_235cc6230336bc4f
Can they play outside?,outside,,outside,abilities_modal,can_question|play,a1,2,
Can they run fast?,run,,swim;walk,abilities_modal,can_question|movement,a1,1,vg_42e1fca40e6b4a0f
Can they swim fast?,swim,,run;walk,abilities_modal,can_question|movement,a1,1,vg_42e1fca40e6b4a0f
Can they walk fast?,walk,,run;swim,abilities_modal,can_question|movement,a1,1,vg_42e1fca40e6b4a0f
Can we go now?,go,,leave;start;stop;eat;play;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we leave now?,leave,,go;start;stop;eat;play;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we start now?,start,,go;leave;stop;eat;play;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we stop now?,stop,,go;leave;start;eat;play;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we eat now?,eat,,go;leave;start;stop;play;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we play now?,play,,go;leave;start;stop;eat;read,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can we read now?,read,,go;leave;start;stop;eat;play,abilities_modal,can_question|classroom,a1,1,vg_79623b4b9dee8f33
Can you hear the bell?,bell,,alarm;teacher;music,abilities_modal,can_question|school|listen,a1,2,vg_c7576958cf8c5288
Can you hear the alarm?,alarm,,bell;teacher;music,abilities_modal,can_question|school|listen,a1,2,vg_c7576958cf8c5288
Can you hear the teacher?,teacher,,bell;alarm;music,abilities_modal,can_question|school|listen,a1,2,vg_c7576958cf8c5288
Can you hear the music?,music,,bell;alarm;teacher,abilities_modal,can_question|school|listen,a1,2,vg_c7576958cf8c5288
Can you help me?,help,,see;find;hear,abilities_modal,can_question|social,a1,1,vg_db5131b2b2e8bba0
Can you see me?,see,,help;find;hear,abilities_modal,can_question|social,a1,1,vg_db5131b2b2e8bba0
Can you find me?,find,,help;see;hear,abilities_modal,can_question|social,a1,1,vg_db5131b2b2e8bba0
Can you hear me?,hear,,help;see;find,abilities_modal,can_question|social,a1,1,vg_db5131b2b2e8bba0
Clean the desk.,desk,,table;chair;floor;room;car;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the table.,table,,desk;chair;floor;room;car;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the chair.,chair,,desk;table;floor;room;car;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the floor.,floor,,desk;table;chair;room;car;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the room.,room,,desk;table;chair;floor;car;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the car.,car,,desk;table;chair;floor;room;board;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the board.,board,,desk;table;chair;floor;room;car;window,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Clean the window.,window,,desk;table;chair;floor;room;car;board,classroom_commands,imperative|clean|school,a1,1,vg_75e7193e92768f20
Close the box.,box,,door;window;bag;fridge;gate,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close the door.,door,,box;window;bag;fridge;gate,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close the window.,window,,box;door;bag;fridge;gate,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close the bag.,bag,,box;door;window;fridge;gate,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close the fridge.,fridge,,box;door;window;bag;gate,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close the gate.,gate,,box;door;window;bag;fridge,classroom_commands,imperative|close,a1,1,vg_0aa393cc0d8acdd3
Close your book.,book,,notebook;folder;mouth;bag;hand,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Close your notebook.,notebook,,book;folder;mouth;bag;hand,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Close your folder.,folder,,book;notebook;mouth;bag;hand,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Close your mouth.,mouth,,book;notebook;folder;bag;hand,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Close your bag.,bag,,book;notebook;folder;mouth;hand,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Close your hand.,hand,,book;notebook;folder;mouth;bag,classroom_commands,imperative|close|school,a1,1,vg_ee0603c9187f6256
Color the picture.,picture,,poster;card;paper,classroom_commands,imperative|color|art,a1,1,vg_176f59204da54b60
Color the poster.,poster,,picture;card;paper,classroom_commands,imperative|color|art,a1,1,vg_176f59204da54b60
Color the card.,card,,picture;poster;paper,classroom_commands,imperative|color|art,a1,1,vg_176f59204da54b60
Color the paper.,paper,,picture;poster;card,classroom_commands,imperative|color|art,a1,1,vg_176f59204da54b60
Do they like music?,music,,rice;pizza;food;school,likes_preferences,do_question|like|plural,a1,2,vg_492a6223b2799aca
Do they like rice?,rice,,music;pizza;food;school,likes_preferences,do_question|like|plural,a1,2,vg_492a6223b2799aca
Do they like pizza?,pizza,,music;rice;food;school,likes_preferences,do_question|like|plural,a1,2,vg_492a6223b2799aca
Do they like food?,food,,music;rice;pizza;school,likes_preferences,do_question|like|plural,a1,2,vg_492a6223b2799aca
Do they like school?,school,,music;rice;pizza;food,likes_preferences,do_question|like|plural,a1,2,vg_492a6223b2799aca
Do they play football?,football,soccer,basketball;tennis;baseball;golf,likes_preferences,do_question|play|sports,a1,2,vg_6160bc22f99280f6
Do they play basketball?,basketball,soccer,football;tennis;baseball;golf,likes_preferences,do_question|play|sports,a1,2,vg_6160bc22f99280f6
Do they play tennis?,tennis,soccer,football;basketball;baseball;golf,likes_preferences,do_question|play|sports,a1,2,vg_6160bc22f99280f6
Do they play baseball?,baseball,soccer,football;basketball;tennis;golf,likes_preferences,do_question|play|sports,a1,2,vg_6160bc22f99280f6
Do they play golf?,golf,soccer,football;basketball;tennis;baseball,likes_preferences,do_question|play|sports,a1,2,vg_6160bc22f99280f6
Do you like juice?,juice,,milk;pizza;fruit;pineapple;chocolate;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like milk?,milk,,juice;pizza;fruit;pineapple;chocolate;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like pizza?,pizza,,juice;milk;fruit;pineapple;chocolate;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like fruit?,fruit,,juice;milk;pizza;pineapple;chocolate;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like pineapple?,pineapple,,juice;milk;pizza;fruit;chocolate;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like chocolate?,chocolate,,juice;milk;pizza;fruit;pineapple;soda;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like soda?,soda,,juice;milk;pizza;fruit;pineapple;chocolate;chips;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like chips?,chips,,juice;milk;pizza;fruit;pineapple;chocolate;soda;fries;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like fries?,fries,,juice;milk;pizza;fruit;pineapple;chocolate;soda;chips;candy,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you like candy?,candy,,juice;milk;pizza;fruit;pineapple;chocolate;soda;chips;fries,likes_preferences,do_question|like|food,a1,1,vg_16b04dd6ccbad166
Do you want a cookie?,cookie,,apple;candy;banana;pear;peach,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a apple?,apple,,cookie;candy;banana;pear;peach,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a candy?,candy,,cookie;apple;banana;pear;peach,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a banana?,banana,,cookie;apple;candy;pear;peach,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a pear?,pear,,cookie;apple;candy;banana;peach,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a peach?,peach,,cookie;apple;candy;banana;pear,likes_preferences,do_question|want|food,a1,2,vg_8723dd4515bfb314
Do you want a pen?,pen,,pencil;crayon;book;note,likes_preferences,do_question|want|school,a1,1,vg_6a2985c5a40e9f72
Do you want a pencil?,pencil,,pen;crayon;book;note,likes_preferences,do_question|want|school,a1,1,vg_6a2985c5a40e9f72
Do you want a crayon?,crayon,,pen;pencil;book;note,likes_preferences,do_question|want|school,a1,1,vg_6a2985c5a40e9f72
Do you want a book?,book,,pen;pencil;crayon;note,likes_preferences,do_question|want|school,a1,1,vg_6a2985c5a40e9f72
Do you want a note?,note,,pen;pencil;crayon;book,likes_preferences,do_question|want|school,a1,1,vg_6a2985c5a40e9f72
Do you want some milk?,milk,,juice;water;coffee;soda;food;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some juice?,juice,,milk;water;coffee;soda;food;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some water?,water,,milk;juice;coffee;soda;food;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some coffee?,coffee,,milk;juice;water;soda;food;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some soda?,soda,,milk;juice;water;coffee;food;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some food?,food,,milk;juice;water;coffee;soda;rice;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some rice?,rice,,milk;juice;water;coffee;soda;food;bread;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some bread?,bread,,milk;juice;water;coffee;soda;food;rice;chocolate;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some chocolate?,chocolate,,milk;juice;water;coffee;soda;food;rice;bread;chips;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some chips?,chips,,milk;juice;water;coffee;soda;food;rice;bread;chocolate;fries;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some fries?,fries,,milk;juice;water;coffee;soda;food;rice;bread;chocolate;chips;candy,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want some candy?,candy,,milk;juice;water;coffee;soda;food;rice;bread;chocolate;chips;fries,likes_preferences,do_question|want|school,a1,1,vg_e0395e3252ce1be4
Do you want an apple?,apple,,orange,likes_preferences,do_question|want|food,a1,2,vg_c657426cb1d2f6f4
Do you want an orange?,orange,,apple,likes_preferences,do_question|want|food,a1,2,vg_c657426cb1d2f6f4
Does he have a ball?,ball,,pen;ruler;kite,possession_have,does_question|have|toys,a1,2,vg_a13d64f47d458424
Does he have a pen?,pen,,ball;ruler;kite,possession_have,does_question|have|toys,a1,2,vg_a13d64f47d458424
Does he have a ruler?,ruler,,ball;pen;kite,possession_have,does_question|have|toys,a1,2,vg_a13d64f47d458424
Does he have a kite?,kite,,ball;pen;ruler,possession_have,does_question|have|toys,a1,2,vg_a13d64f47d458424
Does she have a pen?,pen,,ball;ruler;kite,possession_have,does_question|have|school,a1,2,vg_37b78c46ea8977d7
Does she have a ball?,ball,,pen;ruler;kite,possession_have,does_question|have|school,a1,2,vg_37b78c46ea8977d7
Does she have a kite?,kite,,pen;ball;ruler,possession_have,does_question|have|school,a1,2,vg_37b78c46ea8977d7
Does she have a ruler?,ruler,,ball;pen;ruler;kite,possession_have,does_question|have|school,a1,2,
Draw a big sun.,sun,,flower;moon,classroom_commands,imperative|draw|size,a1,2,vg_5e03184017b64db7
Draw a big flower.,flower,,sun;moon,classroom_commands,imperative|draw|size,a1,2,vg_5e03184017b64db7
Draw a big moon.,moon,,sun;flower,classroom_commands,imperative|draw|size,a1,2,vg_5e03184017b64db7
Draw a small cat.,cat,,dog;bird,classroom_commands,imperative|draw|animals|size,a1,2,vg_0bd03a414c746699
Draw a small dog.,dog,,cat;bird,classroom_commands,imperative|draw|animals|size,a1,2,vg_0bd03a414c746699
Draw a small bird.,bird,,cat;dog,classroom_commands,imperative|draw|animals|size,a1,2,vg_0bd03a414c746699
Draw a small flower.,flower,,tree;bush,classroom_commands,imperative|draw|nature|size,a1,2,vg_5b0cdd898a9338c4
Draw a small tree.,tree,,flower;bush,classroom_commands,imperative|draw|nature|size,a1,2,vg_5b0cdd898a9338c4
Draw a small bush.,bush,,flower;tree,classroom_commands,imperative|draw|nature|size,a1,2,vg_5b0cdd898a9338c4
Give me your hand.,hand,,pen;book,classroom_commands,imperative|give|body,a1,2,vg_180ff40431037a46
Give me your pen.,pen,,hand;book,classroom_commands,imperative|give|body,a1,2,vg_180ff40431037a46
Give me your book.,book,,hand;pen,classroom_commands,imperative|give|body,a1,2,vg_180ff40431037a46
He always wears a blue shirt.,shirt,,hat;jacket,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_8ad16f4cabc67dce
He always wears a blue hat.,hat,,shirt;jacket,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_8ad16f4cabc67dce
He always wears a blue jacket.,jacket,,shirt;hat,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_8ad16f4cabc67dce
He always wears a green hat.,hat,,shirt;jacket,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_5c275cac8247c313
He always wears a green shirt.,shirt,,hat;jacket,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_5c275cac8247c313
He always wears a green jacket.,jacket,,hat;shirt,daily_routines_clothes,present_simple|always|clothes|color,a1,3,vg_5c275cac8247c313
He always wears a hat.,hat,,shirt;cap,daily_routines_clothes,present_simple|always|clothes,a1,2,vg_22abc0cb23d555f4
He always wears a shirt.,shirt,,hat;cap,daily_routines_clothes,present_simple|always|clothes,a1,2,vg_22abc0cb23d555f4
He always wears a cap.,cap,,hat;shirt,daily_routines_clothes,present_simple|always|clothes,a1,2,vg_22abc0cb23d555f4
He can draw a tree.,tree,,flower;house,abilities_modal,can_affirmative|draw|nature,a1,2,vg_f4007780abc6f689
He can draw a flower.,flower,,tree;house,abilities_modal,can_affirmative|draw|nature,a1,2,vg_f4007780abc6f689
He can draw a house.,house,,tree;flower,abilities_modal,can_affirmative|draw|nature,a1,2,vg_f4007780abc6f689
He can kick the ball.,ball,,goal;net,abilities_modal,can_affirmative|kick|sports,a1,2,vg_fe2d925105f9ba05
He can kick the goal.,goal,,ball;net,abilities_modal,can_affirmative|kick|sports,a1,2,vg_fe2d925105f9ba05
He can kick the net.,net,,ball;goal,abilities_modal,can_affirmative|kick|sports,a1,2,vg_fe2d925105f9ba05
He cannot swim.,swim,can't swim; cannot swim,run;jump,abilities_modal,cannot|negative_ability,a1,2,vg_137f5d4ec0783209
He cannot run.,run,can't swim; cannot swim,swim;jump,abilities_modal,cannot|negative_ability,a1,2,vg_137f5d4ec0783209
He cannot jump.,jump,can't swim; cannot swim,swim;run,abilities_modal,cannot|negative_ability,a1,2,vg_137f5d4ec0783209
He does not play games.,games,,games;sports;cards,likes_preferences,present_simple_negative|play,a1,3,
He draws pictures every night.,draws,draw,draws;paints;reads,daily_routines_actions,present_simple|routine|frequency,a1,3,
He drinks milk.,milk,,water;juice,daily_routines_actions,present_simple|drinks|food,a1,1,vg_221e0eebc0e5ce68
He drinks water.,water,,milk;juice,daily_routines_actions,present_simple|drinks|food,a1,1,vg_221e0eebc0e5ce68
He drinks juice.,juice,,milk;water,daily_routines_actions,present_simple|drinks|food,a1,1,vg_221e0eebc0e5ce68
He drinks water now.,water,,milk;juice,daily_routines_actions,present_simple|drinks|time_now,a1,2,vg_daf1bdb9f7c93129
He drinks milk now.,milk,,water;juice,daily_routines_actions,present_simple|drinks|time_now,a1,2,vg_daf1bdb9f7c93129
He drinks juice now.,juice,,water;milk,daily_routines_actions,present_simple|drinks|time_now,a1,2,vg_daf1bdb9f7c93129
He eats soup now.,soup,,rice;bread,daily_routines_actions,present_simple|eats|food|time_now,a1,2,vg_10bff0bfb7ef6054
He eats rice now.,rice,,soup;bread,daily_routines_actions,present_simple|eats|food|time_now,a1,2,vg_10bff0bfb7ef6054
He eats bread now.,bread,,soup;rice,daily_routines_actions,present_simple|eats|food|time_now,a1,2,vg_10bff0bfb7ef6054
He has a blue pen.,pen,,pencil;ruler,possession_have,have|school|color,a1,2,vg_aedb1bc7ea9d9b0f
He has a blue pencil.,pencil,,pen;ruler,possession_have,have|school|color,a1,2,vg_aedb1bc7ea9d9b0f
He has a blue ruler.,ruler,,pen;pencil,possession_have,have|school|color,a1,2,vg_aedb1bc7ea9d9b0f
He has a new kite.,kite,,ball;map,possession_have,have|toys,a1,2,vg_a41aef9b3f75e89e
He has a new ball.,ball,,kite;map,possession_have,have|toys,a1,2,vg_a41aef9b3f75e89e
He has a new map.,map,,kite;ball,possession_have,have|toys,a1,2,vg_a41aef9b3f75e89e
He has five old toys.,toys,toy,toys;books;maps,possession_have,have|numbers|plural,a1,3,
He has one new toy.,toy,toys,book;pen,possession_have,have|numbers|singular,a1,2,vg_bc6a9c23ca9a019f
He has one new book.,book,toys,toy;pen,possession_have,have|numbers|singular,a1,2,vg_bc6a9c23ca9a019f
He has one new pen.,pen,toys,toy;book,possession_have,have|numbers|singular,a1,2,vg_bc6a9c23ca9a019f
He has one old book.,book,,map;toy,possession_have,have|numbers|school,a1,2,vg_e7d0fe881f5cbb85
He has one old toy.,toy,,book;map,possession_have,have|numbers|school,a1,2,vg_e7d0fe881f5cbb85
He has one old map.,map,,book;toy;ball;bag;hat,possession_have,have|numbers|adjectives|singular,a1,2,vg_bf9a55937d1a880e
He has one old ball.,ball,,map;book;toy;bag;hat,possession_have,have|numbers|adjectives|singular,a1,2,vg_bf9a55937d1a880e
He has one old bag.,bag,,map;book;toy;ball;hat,possession_have,have|numbers|adjectives|singular,a1,2,vg_bf9a55937d1a880e
He has one old hat.,hat,,map;book;toy;ball;bag,possession_have,have|numbers|adjectives|singular,a1,2,vg_bf9a55937d1a880e
He has three big boxes.,boxes,box,boxes;bags;cups;books;hats,possession_have,have|numbers|plural|adjectives,a1,3,
He has three heavy boxes.,boxes,box,boxes;bags;books;cups,possession_have,have|numbers|plural|adjectives,a1,3,
He has three yellow pens.,pens,pen,pens;pencils;markers;crayons;rulers,possession_have,have|numbers|plural|color,a1,3,
He has two blue pencils.,pencils,pencil,pencils;pens;markers;crayons;rulers,possession_have,have|numbers|plural|color,a1,3,
He has two yellow markers.,markers,marker,markers;pens;pencils;crayons;rulers,possession_have,have|numbers|plural|color,a1,3,
He is cold.,cold,,cold;hot;sad;happy;hungry;tired;angry;sleepy;thirsty;bored;nervous;sick,be_adjective,be|adjective|state,a1,1,
He is full now.,full,,full;hungry;thirsty;sleepy;tired;hot;cold,be_adjective,be|adjective|state|time_now,a1,2,
He is hungry now.,hungry,,hungry;thirsty;tired;sleepy;hot;cold;full,be_adjective,be|adjective|state|time_now,a1,2,
He is jumping high.,jumping,,jumping;running;swimming;flying;climbing,present_continuous,be|present_continuous|movement,a1,2,
He is jumping now.,jumping,,jumping;running;walking;eating;reading;sleeping;dancing;writing;sitting;singing,present_continuous,be|present_continuous|time_now,a1,2,
He is reading a story.,story,,book;letter,present_continuous,be|present_continuous|read,a1,2,vg_55ec502a7935d382
He is reading a book.,book,,story;letter,present_continuous,be|present_continuous|read,a1,2,vg_55ec502a7935d382
He is reading a letter.,letter,,story;book,present_continuous,be|present_continuous|read,a1,2,vg_55ec502a7935d382
He is riding a bike.,bike,,bus,present_continuous,be|present_continuous|ride|transport,a1,2,vg_27c02769295b72a9
He is riding a bus.,bus,,bike,present_continuous,be|present_continuous|ride|transport,a1,2,vg_27c02769295b72a9
He is sleeping now.,sleeping,,sleeping;eating;reading;writing;running;walking;sitting;standing;dancing;singing;playing,present_continuous,be|present_continuous|state|time_now,a1,2,
He is telling a joke.,joke,,story;name,present_continuous,be|present_continuous|tell|speech,a1,2,vg_6d72d181a489fc3d
He is telling a story.,story,,joke;name,present_continuous,be|present_continuous|tell|speech,a1,2,vg_6d72d181a489fc3d
